EMISSAO;No.DOCTO;No.TITULO;PARCELA;FORNECEDOR;VALOR;VALOR A PAGAR;VENCTO;CTA ORCTO;VALOR;UNIDADE
22/01/2013;65491   ;21139   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      282,60;            ;01/03/2013;000053 Estoque Material Limpeza                          ;      282,60;001
01/02/2013;476     ;21261   ;001;10746                LABORATÓRIO SÃO LUCAS                        ;       83,75;            ;01/03/2013;000034 Serviço de Laboratório                            ;       64,21;001
;;;;;;;;000034 Serviço de Laboratório                            ;        2,89;001
;;;;;;;;000034 Serviço de Laboratório                            ;       16,65;001
13/02/2013;1302    ;21299   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;    1.680,00;            ;01/03/2013;000019 Locação de Maquinas e Equipamentos                ;    1.680,00;001
15/02/2013;1502    ;21317   ;001;0                    PREFEITURA MUNICIPAL DE TAUBATÉ              ;    4.788,00;            ;01/03/2013;000009 Residuos Solidos Septicos                         ;    4.788,00;001
05/02/2013;28475   ;21332   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;       44,69;            ;01/03/2013;000047 Estoque Hemo                                      ;       44,69;001
05/02/2013;17980   ;21333   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;    3.905,88;            ;01/03/2013;000047 Estoque Hemo                                      ;    3.905,88;001
15/02/2013;231301  ;21401   ;001;53.276.010/0001-10   HEXIS CIENTÍFICA S/A                         ;      399,96;            ;01/03/2013;000047 Estoque Hemo                                      ;      399,96;001
22/02/2013;2202    ;21428   ;001;158                  ASSOCIAÇÃO PAULISTA DE MEDICINA - REGIONAL SJ;      450,00;            ;01/03/2013;000027 Publicidade e Propaganda                          ;      450,00;002
19/02/2013;68376   ;21495   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;    4.540,73;            ;01/03/2013;000053 Estoque Material Limpeza                          ;    4.540,73;001
01/03/2013;43154   ;21583   ;001;04.069.709/0001-02   BIONEXO DO BRASIL LTDA                       ;    2.302,24;            ;01/03/2013;000039 Serviço Contratado PJ                             ;    2.302,24;001
11/02/2013;66030   ;21321   ;001;00.762.455/0001-44   NIPROMEDICAL LTDA.                           ;    4.830,00;            ;02/03/2013;000047 Estoque Hemo                                      ;    4.830,00;001
14/02/2013;27000   ;21335   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;    2.295,00;            ;02/03/2013;000047 Estoque Hemo                                      ;    2.295,00;001
15/02/2013;70171   ;21369   ;001;29511607000118       CONTROLE DE QUALIDADE P/ LABORATORIOS        ;       54,73;            ;02/03/2013;000034 Serviço de Laboratório                            ;       29,37;001
;;;;;;;;000034 Serviço de Laboratório                            ;        1,32;001
;;;;;;;;000034 Serviço de Laboratório                            ;        7,61;001
;;;;;;;;000034 Serviço de Laboratório                            ;       12,59;002
;;;;;;;;000034 Serviço de Laboratório                            ;        0,56;002
;;;;;;;;000034 Serviço de Laboratório                            ;        3,28;002
14/12/2012;40199   ;20761   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;      837,50;            ;03/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;      837,50;001
14/12/2012;40198   ;20762   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;    2.688,00;            ;03/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;    2.688,00;001
22/02/2013;2202    ;21429   ;001;02449992005638       VIVO S.A                                     ;    3.288,20;            ;03/03/2013;000134 Telefonia                                         ;       19,73;001
;;;;;;;;000134 Telefonia                                         ;       53,60;001
;;;;;;;;000134 Telefonia                                         ;      129,56;001
;;;;;;;;000134 Telefonia                                         ;        6,58;001
;;;;;;;;000134 Telefonia                                         ;       34,52;001
;;;;;;;;000134 Telefonia                                         ;    1.334,35;001
;;;;;;;;000134 Telefonia                                         ;      723,40;001
;;;;;;;;000134 Telefonia                                         ;      986,46;001
03/01/2013;238     ;20967   ;002;12254924000101       CENTRO AUTOMOTIVO SANTA CLARA LTDA ME        ;       80,00;            ;04/03/2013;000016 Despesa com Veiculos                              ;       80,00;001
03/01/2013;585     ;21305   ;002;12254924000101       CENTRO AUTOMOTIVO SANTA CLARA LTDA ME        ;      600,00;            ;04/03/2013;000016 Despesa com Veiculos                              ;      600,00;001
11/02/2013;71      ;21324   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;    1.366,64;            ;04/03/2013;000047 Estoque Hemo                                      ;    1.366,64;001
11/02/2013;65      ;21329   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;      929,14;            ;04/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;      929,14;001
14/02/2013;3134    ;21340   ;001;62007711000145       ULTRA PROD. ANALITICOS LTDA                  ;      937,50;            ;04/03/2013;000047 Estoque Hemo                                      ;      937,50;001
16/02/2013;47063   ;21349   ;001;55230957000116       ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS ;      185,28;            ;04/03/2013;000032 Serviço de Esterelização                          ;      185,28;001
18/02/2013;30      ;21430   ;001;03863392000100       LUIZ RICARDO RIGHETI                         ;      720,00;            ;04/03/2013;000021 Manutenção Equip. (Corretiva)                     ;      720,00;001
14/02/2013;46916   ;21438   ;001;55230957000116       ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS ;      135,50;            ;04/03/2013;000032 Serviço de Esterelização                          ;      135,50;001
25/02/2013;2502    ;21448   ;001;5711                 COMEVAP                                      ;      462,00;            ;04/03/2013;000002 Alimentação Pacientes                             ;      462,00;001
27/02/2013;2702    ;21470   ;001;0002                 FÉRIAS                                       ;    1.850,28;            ;04/03/2013;000091 Adiantamento de 13º Salário                       ;      491,99;001
;;;;;;;;000092 Férias                                            ;    1.358,29;001
19/12/2012;420245  ;20844   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;    3.540,00;            ;05/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.540,00;001
21/01/2013;208202  ;21092   ;003;04.307.650/0001-35   ONCO PROD DIST.PRODUTO HOSP E ONCOLOGIA LTDA ;    1.331,78;            ;05/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.331,78;001
11/02/2013;65520   ;21322   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;    1.505,18;            ;05/03/2013;000053 Estoque Material Limpeza                          ;    1.505,18;001
14/02/2013;28624   ;21337   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;      450,00;            ;05/03/2013;000047 Estoque Hemo                                      ;      450,00;001
18/02/2013;86219   ;21416   ;001;60184751001109       DSI DROGARIA LTDA                            ;    2.752,62;            ;05/03/2013;000087 Farmacia a Pagar                                  ;       55,05;001
;;;;;;;;000087 Farmacia a Pagar                                  ;      220,21;001
;;;;;;;;000087 Farmacia a Pagar                                  ;    2.312,20;001
;;;;;;;;000087 Farmacia a Pagar                                  ;      137,63;001
;;;;;;;;000087 Farmacia a Pagar                                  ;       27,53;002
26/02/2013;2602    ;21466   ;001;72304470000150       GUARDA MIRIM DE TAUBATE                      ;    1.960,04;            ;05/03/2013;000043 Guarda Mirim                                      ;    1.960,04;001
26/02/2013;3335    ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;      890,00;            ;05/03/2013;000019 Locação de Maquinas e Equipamentos                ;        7,12;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       84,55;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;        3,56;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       63,46;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;      260,05;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;      239,59;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       84,55;001
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       29,37;002
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       70,49;002
;;;;;;;;000019 Locação de Maquinas e Equipamentos                ;       47,26;002
04/03/2013;0403    ;21528   ;001;33.041.062/0001-09   SUL AMEIRCA CIA NACIONAL DE SEGUROS          ;    4.913,47;            ;05/03/2013;000065 Convênio Médico                                   ;    4.913,47;001
05/03/2013;0103    ;21556   ;001;01058991000126       MARCHETTI & MARCHETTI PIZZARIA LTDA          ;      139,60;            ;05/03/2013;000017 Eventos                                           ;      139,60;001
05/03/2013;0503    ;21585   ;001;01205542000244       FOLHA DE PAGAMENTO                           ;  122.101,00;            ;05/03/2013;000095 Folha de Pagamento                                ;    5.348,02;001
;;;;;;;;000095 Folha de Pagamento                                ;    7.216,17;001
;;;;;;;;000095 Folha de Pagamento                                ;      561,66;001
;;;;;;;;000095 Folha de Pagamento                                ;    3.907,23;001
;;;;;;;;000095 Folha de Pagamento                                ;      268,62;001
;;;;;;;;000095 Folha de Pagamento                                ;    1.306,49;001
;;;;;;;;000095 Folha de Pagamento                                ;   69.744,09;001
;;;;;;;;000095 Folha de Pagamento                                ;   12.674,08;001
;;;;;;;;000095 Folha de Pagamento                                ;    1.379,74;001
;;;;;;;;000095 Folha de Pagamento                                ;      708,19;002
;;;;;;;;000095 Folha de Pagamento                                ;   12.271,15;002
;;;;;;;;000095 Folha de Pagamento                                ;    5.494,55;002
;;;;;;;;000095 Folha de Pagamento                                ;    1.221,01;002
05/03/2013;2688    ;21638   ;001;56.036.718/0001-92   CENTERLAB CENTROAL DE LABORATÓRIOS LTDA      ;      400,00;            ;05/03/2013;000034 Serviço de Laboratório                            ;      214,68;001
;;;;;;;;000034 Serviço de Laboratório                            ;        9,68;001
;;;;;;;;000034 Serviço de Laboratório                            ;       55,64;001
;;;;;;;;000034 Serviço de Laboratório                            ;        4,12;002
;;;;;;;;000034 Serviço de Laboratório                            ;       23,88;002
;;;;;;;;000034 Serviço de Laboratório                            ;       92,00;002
06/02/2013;2670    ;21287   ;001;05.360.906/0001-30   MOREIRA JUNIOR E SILVA LTDA ME               ;      315,00;            ;06/03/2013;000021 Manutenção Equip. (Corretiva)                     ;      315,00;001
11/02/2013;257115  ;21325   ;002;82.641.325/0018-66   CREMER S. A.                                 ;    1.617,03;            ;06/03/2013;000047 Estoque Hemo                                      ;    1.617,03;001
14/02/2013;27039   ;21336   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;    2.286,90;            ;06/03/2013;000047 Estoque Hemo                                      ;    2.286,90;001
19/02/2013;1902    ;21371   ;001;12478                PREFEITURA MUNICIPAL SJC                     ;      100,00;      100,00;06/03/2013;000081 Taxa de renovação de licenças e impostos          ;      100,00;002
19/02/2013;15411   ;21395   ;001;10784                PRONEFRO                                     ;    6.480,00;            ;06/03/2013;000047 Estoque Hemo                                      ;    6.480,00;001
20/02/2013;42044   ;21494   ;001;8710                 TANBY COM. DE PAPEIS                         ;       36,45;            ;06/03/2013;000049 Estoque Papelaria                                 ;       36,45;001
04/03/2013;52      ;21530   ;001;08771128000160       KR ASSISTENCIA MEDICA SS LTDA                ;    9.714,99;            ;06/03/2013;000014 Serviços Médicos / Plantonistas                   ;    7.506,77;001
;;;;;;;;000014 Serviços Médicos / Plantonistas                   ;    2.208,22;001
28/02/2013;18529   ;21553   ;001;60.193.513/0001-98   PANIFICADORA E CONFEITRIA PAO DE AÇUCAR LTDA ;    1.124,50;            ;06/03/2013;000002 Alimentação Pacientes                             ;    1.124,50;002
05/03/2013;0503    ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;      355,70;            ;06/03/2013;000010 Internet                                          ;        1,32;002
;;;;;;;;000010 Internet                                          ;        4,98;002
;;;;;;;;000010 Internet                                          ;        0,21;002
;;;;;;;;000010 Internet                                          ;        1,92;002
;;;;;;;;000010 Internet                                          ;       27,14;002
;;;;;;;;000010 Internet                                          ;      213,42;002
;;;;;;;;000010 Internet                                          ;      106,71;002
06/03/2013;0603    ;21593   ;001;056576               VALE TRANSPORTE                              ;       47,60;            ;06/03/2013;000130 Vale Transporte                                   ;       47,60;001
06/03/2013;0603    ;21594   ;001;000000000000000007   MARIA CRISTINA SILVA BROTERI DE ASSIS        ;      567,96;            ;06/03/2013;000095 Folha de Pagamento                                ;      567,96;001
