CTA BANCARIA;SALDO TRANSPORTE;DATA;No.LANCTO;No.DOCTO;TIPO MOVTO;DEBITO;CREDITO;FAVORECIDO;HISTORICO;SALDO;CTA ORCTO;VALOR;UNIDADE
22.768-61                     ;  103.007,63;01/03/2013;000001;10;debito bancario          ;    4.540,73;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 68376                                                                                                         ;   98.466,90;000053 Estoque Material Limpeza                          ;    4.540,73;001;Taubaté
22.768-61                     ;  103.007,63;01/03/2013;000002;10;debito bancario          ;    4.788,00;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 1502                                                                                                          ;   93.678,90;000009 Residuos Solidos Septicos                         ;    4.788,00;001;Taubaté
22.768-61                     ;  103.007,63;01/03/2013;000003;17;TED CREDITO              ;            ;   72.884,89;TED ENTRE CONTAS                                       ;                                                                                                                        ;  166.563,79;;;;
22.768-61                     ;  103.007,63;01/03/2013;000004;24;JUROS EMPRESTIMO         ;    4.603,02;            ;JUROS                                                  ;                                                                                                                        ;  161.960,77;000079 Juros de Emprestimos Bancarios                    ;    4.603,02;001;Taubaté
22.768-61                     ;  103.007,63;01/03/2013;000005;16;despesas bancárias       ;        4,05;            ;despesa bancaria                                       ;                                                                                                                        ;  161.956,72;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;01/03/2013;000006;11;CREDITO (CLIENTE)        ;            ;      100,00;GERALDO M DA C E SILVA                                 ;REF. a NF 656/NFE                                                                                                       ;  162.056,72;;;;
22.768-61                     ;  103.007,63;04/03/2013;000007;10;debito bancario          ;      185,28;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 47063                                                                                                         ;  161.871,44;000032 Serviço de Esterelização                          ;      185,28;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000008;10;debito bancario          ;      135,50;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 46916                                                                                                         ;  161.735,94;000032 Serviço de Esterelização                          ;      135,50;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000009;10;debito bancario          ;    3.540,00;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 420245                                                                                                        ;  158.195,94;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.540,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000010;10;debito bancario          ;    4.830,00;            ;NIPROMEDICAL LTDA.                                     ;REF. a NF 66030                                                                                                         ;  153.365,94;000047 Estoque Hemo                                      ;    4.830,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000011;10;debito bancario          ;    2.688,00;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 40198                                                                                                         ;  150.677,94;000051 Estoque Hemo - MEDICAMENTOS                       ;    2.688,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000012;10;debito bancario          ;       54,73;            ;CONTROLE DE QUALIDADE P/ LABORATORIOS                  ;REF. a NF 70171                                                                                                         ;  150.623,21;000034 Serviço de Laboratório                            ;       29,37;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        1,32;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        7,61;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       12,59;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        0,56;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        3,28;002;São José
22.768-61                     ;  103.007,63;04/03/2013;000013;10;debito bancario          ;    2.295,00;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27000                                                                                                         ;  148.328,21;000047 Estoque Hemo                                      ;    2.295,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000014;10;debito bancario          ;      837,50;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 40199                                                                                                         ;  147.490,71;000051 Estoque Hemo - MEDICAMENTOS                       ;      837,50;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000015;10;debito bancario          ;      462,00;            ;COMEVAP                                                ;REF. a NF 2502                                                                                                          ;  147.028,71;000002 Alimentação Pacientes                             ;      462,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000016;10;debito bancario          ;      600,00;            ;CENTRO AUTOMOTIVO SANTA CLARA LTDA ME                  ;REF. a NF 585                                                                                                           ;  146.428,71;000016 Despesa com Veiculos                              ;      600,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000017;10;debito bancario          ;       80,00;            ;CENTRO AUTOMOTIVO SANTA CLARA LTDA ME                  ;REF. a NF 238                                                                                                           ;  146.348,71;000016 Despesa com Veiculos                              ;       80,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000018;10;debito bancario          ;      937,50;            ;ULTRA PROD. ANALITICOS LTDA                            ;REF. a NF 3134                                                                                                          ;  145.411,21;000047 Estoque Hemo                                      ;      937,50;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000019;10;debito bancario          ;      929,14;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 65                                                                                                            ;  144.482,07;000051 Estoque Hemo - MEDICAMENTOS                       ;      929,14;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000020;10;debito bancario          ;    1.366,64;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 71                                                                                                            ;  143.115,43;000047 Estoque Hemo                                      ;    1.366,64;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000021;10;debito bancario          ;      720,00;            ;LUIZ RICARDO RIGHETI                                   ;REF. a NF 30                                                                                                            ;  142.395,43;000021 Manutenção Equip. (Corretiva)                     ;      720,00;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000022;10;debito bancario          ;    3.288,20;            ;VIVO S.A                                               ;REF. a NF 2202                                                                                                          ;  139.107,23;000134 Telefonia                                         ;       19,73;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;       53,60;001;Taubaté
