Produto;Descricao;Unidade;Lote;Localizacao;Fisico;Sistema;Diferenca;Custo STD;Valor Total
080802;GRAFITE MP 99511;Kg;1805057;WC-01C020;               0,000;           2.777,000;     2.777,0000;         3,3000;     9.164,1000
080802;GRAFITE MP 99511;Kg;1805057;WC-03A010;               0,000;           2.784,000;     2.784,0000;         2,1000;     5.846,4000
080802;GRAFITE MP 99511;Kg;1807326;WC-03A010;               0,000;           1.042,500;     1.042,5000;         2,1000;     2.189,2500
094776;90 01 16;kg;1825453;PA-PA00011;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100035;FC 0205 BD 11 U EW;kg;1807363;WC-05D015;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D031;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D040;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D041;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D042;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D043;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100035;FC 0205 BD 11 U EW;kg;1810444;WC-05D044;               0,000;             985,000;       985,0000;         2,3000;     2.265,5000
100084;REC 006 R MAHLE;kg;1745552;PB-PB00001;               0,000;             633,000;       633,0000;         2,3000;     1.455,9000
100084;REC 006 R MAHLE;kg;1745556;WC-15A020;               0,000;             477,000;       477,0000;         2,3000;     1.097,1000
100084;REC 006 R MAHLE;kg;1767020;WC-15A010;               0,000;             370,000;       370,0000;         2,3000;       851,0000
100084;REC 006 R MAHLE;kg;1811995;WC-15A010;               0,000;           1.013,000;     1.013,0000;         2,3000;     2.329,9000
100085;REC 020 R MAHLE;kg;1745551;PB-PB00001;               0,000;             636,000;       636,0000;         2,3000;     1.462,8000
100085;REC 020 R MAHLE;kg;1745551;WC-15A020;               0,000;             451,000;       451,0000;         2,3000;     1.037,3000
100085;REC 020 R MAHLE;kg;1767023;PB-PB00001;               0,000;             115,000;       115,0000;         2,3000;       264,5000
100103;GKN PP 11 165 STARMIX;kg;1744238;WC-05C011;               0,000;             514,000;       514,0000;         2,3000;     1.182,2000
100103;GKN PP 11 165 STARMIX;kg;1795296;WC-05C031;               0,000;           2.995,000;     2.995,0000;         2,3000;     6.888,5000
100103;GKN PP 11 165 STARMIX;kg;1803561;WC-05C040;               0,000;           2.996,000;     2.996,0000;         2,3000;     6.890,8000
100103;GKN PP 11 165 STARMIX;kg;1803561;WC-05C041;               0,000;           2.027,000;     2.027,0000;         2,3000;     4.662,1000
100103;GKN PP 11 165 STARMIX;kg;1805635;WC-05C043;               0,000;           1.008,000;     1.008,0000;         2,3000;     2.318,4000
100103;GKN PP 11 165 STARMIX;kg;1805635;WC-05C050;               0,000;             998,000;       998,0000;         2,3000;     2.295,4000
100103;GKN PP 11 165 STARMIX;kg;1805635;WC-05C052;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100103;GKN PP 11 165 STARMIX;kg;1805635;WC-05C053;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100103;GKN PP 11 165 STARMIX;kg;1807083;PA-PA00011;               0,000;           5.012,000;     5.012,0000;         2,3000;    11.527,6000
100103;GKN PP 11 165 STARMIX;kg;1809218;WC-05C010;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100103;GKN PP 11 165 STARMIX;kg;1809218;WC-05C011;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100103;GKN PP 11 165 STARMIX;kg;1809218;WC-05C013;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100103;GKN PP 11 165 STARMIX;kg;1809218;WC-05C014;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100103;GKN PP 11 165 STARMIX;kg;1809218;WC-05C015;               0,000;           1.985,000;     1.985,0000;         2,3000;     4.565,5000
100111;HFL 4106;kg;1780379;WC-05E050;               0,000;             990,000;       990,0000;         2,3000;     2.277,0000
100111;HFL 4106;kg;1780379;WC-05E053;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100111;HFL 4106;kg;1780379;WC-05E064;               0,000;           2.017,000;     2.017,0000;         2,3000;     4.639,1000
100126;ALD 100 26 S;kg;1748191;PA-PA00010;               0,000;           1.100,000;     1.100,0000;         2,3000;     2.530,0000
100126;ALD 100 26 S;kg;1821727;WC-05A010;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100160;90 01 20 R;kg;1815644;WC-05J010;               0,000;           9.825,000;     9.825,0000;         2,3000;    22.597,5000
100160;90 01 20 R;kg;1820847;WC-05G030;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100160;90 01 20 R;kg;1820847;WC-05G032;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100160;90 01 20 R;kg;1820847;WC-05G034;               0,000;           1.940,000;     1.940,0000;         2,3000;     4.462,0000
100160;90 01 20 R;kg;1820847;WC-05H031;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100161;90 01 06 MS R;kg;1813325;WC-05H031;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100161;90 01 06 MS R;kg;1813325;WC-05H032;               0,000;           6.000,000;     6.000,0000;         2,3000;    13.800,0000
100161;90 01 06 MS R;kg;1813325;WC-05H033;               0,000;           1.050,000;     1.050,0000;         2,3000;     2.415,0000
100161;90 01 06 MS R;kg;1813992;WC-05I010;               0,000;          10.030,000;    10.030,0000;         2,3000;    23.069,0000
100161;90 01 06 MS R;kg;1814977;WC-05H050;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100161;90 01 06 MS R;kg;1814977;WC-05H051;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100161;90 01 06 MS R;kg;1814977;WC-05H052;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100161;90 01 06 MS R;kg;1814977;WC-05H053;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100161;90 01 06 MS R;kg;1814977;WC-05H054;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100161;90 01 06 MS R;kg;1814977;WC-05H055;               0,000;           2.050,000;     2.050,0000;         2,3000;     4.715,0000
100174;REC 021 R MAHLE;kg;1745555;PB-PB00001;               0,000;             115,000;       115,0000;         2,3000;       264,5000
100174;REC 021 R MAHLE;kg;1811991;PB-PB00001;               0,000;             362,000;       362,0000;         2,3000;       832,6000
100175;REC 013 R MAHLE;kg;1745557;PA-PA00001;               0,000;               7,000;         7,0000;         2,3000;        16,1000
100295;90 01 21 R;kg;1802728;WC-05G061;               0,000;             988,000;       988,0000;         2,3000;     2.272,4000
100295;90 01 21 R;kg;1811353;WC-05J010;               0,000;           9.940,000;     9.940,0000;         2,3000;    22.862,0000
100299;CS 190;kg;1810363;PA-PA00011;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100299;CS 190;kg;1815656;PA-PA00011;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100374;PO ABRASIVO AGL SCREENING;kg;1777060;PM-PM00003;               0,000;           7.500,000;     7.500,0000;         2,3000;    17.250,0000
100374;PO ABRASIVO AGL SCREENING;kg;1790026;PM-PM00003;               0,000;          11.500,000;    11.500,0000;         2,3000;    26.450,0000
100374;PO ABRASIVO AGL SCREENING;kg;1822553;PM-PM00003;               0,000;          11.300,000;    11.300,0000;         2,3000;    25.990,0000
100375;90 01 15 R;kg;1815646;WC-05H030;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100375;90 01 15 R;kg;1815646;WC-05H040;               0,000;           2.000,000;     2.000,0000;         2,3000;     4.600,0000
100375;90 01 15 R;kg;1815646;WC-05H041;               0,000;           3.000,000;     3.000,0000;         2,3000;     6.900,0000
100375;90 01 15 R;kg;1815646;WC-05H045;               0,000;           1.005,000;     1.005,0000;         2,3000;     2.311,5000
100378;90 01 40;kg;1790896;PA-PA00011;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100378;90 01 40;kg;1792125;PA-PA00010;               0,000;              12,000;        12,0000;         2,3000;        27,6000
100378;90 01 40;kg;1826106;PA-PA00011;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100498;REC 010 R MAHLE;kg;1811992;WC-15A010;               0,000;              17,000;        17,0000;         2,3000;        39,1000
100499;REC 011 R MAHLE;kg;1811994;WC-15A010;               0,000;             169,000;       169,0000;         2,3000;       388,7000
100500;90 01 11 R;kg;1811883;WC-05G061;               0,000;           1.968,000;     1.968,0000;         2,3000;     4.526,4000
100500;90 01 11 R;kg;1814906;WC-05G030;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100500;90 01 11 R;kg;1814906;WC-05G032;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100500;90 01 11 R;kg;1814906;WC-05G033;               0,000;           3.030,000;     3.030,0000;         2,3000;     6.969,0000
100504;ESTEARATO DE ZINCO IND BS;kg;1768075;WC-01A020;               0,000;              70,000;        70,0000;         2,3000;       161,0000
100584;PO ABRASIVO AGL;kg;1772449;PM-PM00003;               0,000;             175,000;       175,0000;         2,3000;       402,5000
100792;90 01 10;kg;1785451;WD-06A010;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100792;90 01 10;kg;1795141;PA-PA00011;               0,000;             200,000;       200,0000;         2,3000;       460,0000
100820;AST 10NI;kg;1807329;WC-05F060;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100820;AST 10NI;kg;1807329;WC-05F061;               0,000;             973,000;       973,0000;         2,3000;     2.237,9000
100820;AST 10NI;kg;1808754;WC-05E040;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100820;AST 10NI;kg;1808754;WC-05E042;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100820;AST 10NI;kg;1808754;WC-05E043;               0,000;           1.030,000;     1.030,0000;         2,3000;     2.369,0000
100921;FC 0316 BD9 AW GH;kg;1814976;WC-05D050;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100921;FC 0316 BD9 AW GH;kg;1814976;WC-05D052;               0,000;           1.000,000;     1.000,0000;         2,3000;     2.300,0000
100921;FC 0316 BD9 AW GH;kg;1814976;WC-05D053;               0,000;           1.030,000;     1.030,0000;         2,3000;     2.369,0000
100981;GKN PP 11 219;kg;1819210;WC-05A011;               0,000;           2.004,000;     2.004,0000;         2,3000;     4.609,2000
101120;EL 900 LOX- OVER SIZE;kg;1813790;PM-PM00001;               0,000;           1.686,750;     1.686,7500;         2,3000;     3.879,5250
101120;EL 900 LOX- OVER SIZE;kg;1813792;PM-PM00001;               0,000;           1.686,750;     1.686,7500;         2,3000;     3.879,5250
101120;EL 900 LOX- OVER SIZE;kg;1813794;PM-PM00001;               0,000;           1.686,750;     1.686,7500;         2,3000;     3.879,5250
101120;EL 900 LOX- OVER SIZE;kg;1813796;PM-PM00001;               0,000;           1.686,750;     1.686,7500;         2,3000;     3.879,5250
101120;EL 900 LOX- OVER SIZE;kg;1817507;PM-PM00001;               0,000;           1.700,000;     1.700,0000;         2,3000;     3.910,0000
101120;EL 900 LOX- OVER SIZE;kg;1817509;PM-PM00001;               0,000;           2.950,000;     2.950,0000;         2,3000;     6.785,0000
111585;2537-00;kg;C68849;WC-12A020;               0,000;              15,000;        15,0000;         2,3000;        34,5000
111766;2342-00;kg;1452072;WC-12A020;               0,000;              25,000;        25,0000;         2,3000;        57,5000
111906;M2 53-150 µM;kg;1581711;WC-12A020;               0,000;             100,000;       100,0000;         2,3000;       230,0000
112232;5210-40;kg;1343479;WC-12A020;               0,000;              10,000;        10,0000;         2,3000;        23,0000
112232;5210-40;kg;C77183;WC-12A020;               0,000;              10,000;        10,0000;         2,3000;        23,0000
114732;3533-10;kg;1597087;WC-12A020;               0,000;              20,000;        20,0000;         2,3000;        46,0000
115004;1250-00;kg;1447009;WC-12A020;               0,000;              10,000;        10,0000;         2,3000;        23,0000
115010;1020-00;kg;C56932;WC-12A020;               0,000;              50,000;        50,0000;         2,3000;       115,0000
115019;1060-00;kg;1674784;WD-06A010;               0,000;              17,000;        17,0000;         2,3000;        39,1000
115019;1060-00;kg;1760384;WC-12A020;               0,000;              20,000;        20,0000;         2,3000;        46,0000
115019;1060-00;kg;1762775;WC-12A020;               0,000;             620,000;       620,0000;         2,3000;     1.426,0000
115023;1350-00;kg;1412227;WC-12A020;               0,000;              40,000;        40,0000;         2,3000;        92,0000
115025;1360-20;kg;1392220;WC-12A020;               0,000;              20,000;        20,0000;         2,3000;        46,0000
115025;1360-20;kg;1494580;WC-12A020;               0,000;              20,000;        20,0000;         2,3000;        46,0000
115026;1550-00;kg;1242942;WC-12A020;               0,000;              15,000;        15,0000;         2,3000;        34,5000
115042;1623-05;kg;1670829;WC-12A020;               0,000;              75,000;        75,0000;         2,3000;       172,5000
115074;1036-40;kg;1629050;WC-12A020;               0,000;              95,000;        95,0000;         2,3000;       218,5000
115142;1031-10;kg;1749494;WC-12A020;               0,000;              80,000;        80,0000;         2,3000;       184,0000
115143;1021-10;kg;1546427;WC-12A020;               0,000;              35,000;        35,0000;         2,3000;        80,5000
115164;1535-30;kg;1209119;WC-12A020;               0,000;              15,000;        15,0000;         2,3000;        34,5000
115166;1560-00;kg;1720821;WC-12A020;               0,000;             100,000;       100,0000;         2,3000;       230,0000
115198;1555-20;kg;1455399;WC-12A020;               0,000;             160,000;       160,0000;         2,3000;       368,0000
115214;1055-20;kg;C58266;WC-12A020;               0,000;             135,000;       135,0000;         2,3000;       310,5000
115225;X-NISP 409 20-106 µM;kg;C56557;WC-12A020;               0,000;              30,000;        30,0000;         2,3000;        69,0000
115335;1060-00-50% 4070;kg;1756797;WC-12A020;               0,000;             220,000;       220,0000;         2,3000;       506,0000
115335;1060-00-50% 4070;kg;1771061;WC-RECEB;               0,000;              40,000;        40,0000;         2,3000;        92,0000
115528;1559-40-65% 4570;kg;1672098;WC-12A020;               0,000;              55,000;        55,0000;         2,3000;       126,5000
115623;1559-40;kg;1672256;WC-12A020;               0,000;              45,000;        45,0000;         2,3000;       103,5000
115623;1559-40;kg;1689492;WC-12A020;               0,000;              75,000;        75,0000;         2,3000;       172,5000
115676;1735-40;kg;C56605;WC-12A020;               0,000;               9,000;         9,0000;         2,3000;        20,7000
115699;1360-00-35% 44712-10;kg;C57340;WC-12A020;               0,000;              15,000;        15,0000;         2,3000;        34,5000
117144;A11 (53-150µM);kg;1724622;WC-12A020;               0,000;             220,000;       220,0000;         2,3000;       506,0000
117646;HB 400 -63 µM;kg;1743745;WC-13A010;               0,000;             200,000;       200,0000;         2,3000;       460,0000
117646;HB 400 -63 µM;kg;1768637;WC-12A020;               0,000;           1.400,000;     1.400,0000;         2,3000;     3.220,0000
117646;HB 400 -63 µM;kg;1768639;WC-13A010;               0,000;           2.500,000;     2.500,0000;         2,3000;     5.750,0000
