CTA ORCTO;No.DOCTO;PARCELA;FORNECEDOR;VENCTO;PAGTO;VALOR;C.CUSTO;UNIDADE
00002 Alimentação Pacientes                             ;21448   ;001;5711                 COMEVAP                                      ;04/03/2013;04/03/2013;      462,00;002001 Hemodialise                                       ;001 Taubaté
00002 Alimentação Pacientes                             ;21553   ;001;60.193.513/0001-98   PANIFICADORA E CONFEITRIA PAO DE AÇUCAR LTDA ;06/03/2013;06/03/2013;    1.124,50;002001 Hemodialise                                       ;002 São José
00002 Alimentação Pacientes                             ;21366   ;001;10685                SUPERMERCADO SHIBATA                         ;08/03/2013;08/03/2013;      586,29;002001 Hemodialise                                       ;001 Taubaté
00002 Alimentação Pacientes                             ;21497   ;001;07815684000129       MARIANA DE JESUS NASCIMENTO ME               ;11/03/2013;11/03/2013;      290,00;002001 Hemodialise                                       ;001 Taubaté
00002 Alimentação Pacientes                             ;21655   ;001;5711                 COMEVAP                                      ;15/03/2013;15/03/2013;      330,00;002001 Hemodialise                                       ;001 Taubaté
00002 Alimentação Pacientes                             ;21582   ;001;10658168000142       JC MOUTELLA VIEIRA ME                        ;20/03/2013;20/03/2013;    4.033,25;002001 Hemodialise                                       ;001 Taubaté
00003 Assinaturas de Jornais ou Revistas                ;20694   ;004;13                   ABRIL SA                                     ;14/03/2013;14/03/2013;       35,00;002001 Hemodialise                                       ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21573   ;001;09106184000143       AMW AUTO PÓSTO LTDA                          ;10/03/2013;21/03/2013;      394,17;002001 Hemodialise                                       ;002 São José
00005 Combustiveis e Lubrificantes                      ;21573   ;001;09106184000143       AMW AUTO PÓSTO LTDA                          ;10/03/2013;21/03/2013;      151,77;003001 Administracao                                     ;002 São José
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;       97,15;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;       89,58;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;      123,01;001001 Laboratorio Hemo                                  ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;        6,31;001006 Laboratorio DPA                                   ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;       32,17;001007 Laboratorio Externo                               ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;    4.647,90;002001 Hemodialise                                       ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;      459,23;003001 Administracao                                     ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;      187,98;004001 Consultorio                                       ;001 Taubaté
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;      460,50;002001 Hemodialise                                       ;002 São José
00005 Combustiveis e Lubrificantes                      ;21576   ;001;48657419000162       AUTO POSTO BOM RODAR LTDA                    ;10/03/2013;11/03/2013;      204,39;003001 Administracao                                     ;002 São José
00006 Copa e Cozinha                                    ;21575   ;001;3480                 DISTRIBUIDORA AGUA MINERAL                   ;10/03/2013;11/03/2013;      425,00;002001 Hemodialise                                       ;001 Taubaté
00007 Correios e Telegrafos                             ;21518   ;001;34.028.316/7101-51   EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS  ;13/03/2013;13/03/2013;      650,87;002001 Hemodialise                                       ;001 Taubaté
00008 Cursos e Especializações                          ;21649   ;001;05370489000107       CENTRAL DE CURSOS E EVENTOS S/C LTDA         ;14/03/2013;14/03/2013;      315,58;002001 Hemodialise                                       ;001 Taubaté
00008 Cursos e Especializações                          ;21464   ;001;03709814003375       SERVIÇO DE APRENDIZAGEM COMERCIAL            ;20/03/2013;22/04/2013;       62,94;002001 Hemodialise                                       ;001 Taubaté
00009 Residuos Solidos Septicos                         ;21317   ;001;0                    PREFEITURA MUNICIPAL DE TAUBATÉ              ;01/03/2013;01/03/2013;    4.788,00;002001 Hemodialise                                       ;001 Taubaté
00009 Residuos Solidos Septicos                         ;21506   ;001;0                    PREFEITURA MUNICIPAL DE TAUBATÉ              ;28/03/2013;28/03/2013;    3.888,00;002001 Hemodialise                                       ;001 Taubaté
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;        1,32;000012 Dialise Peritonial - DPA                          ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;        4,98;001001 Laboratorio Hemo                                  ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;        0,21;001006 Laboratorio DPA                                   ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;        1,92;001007 Laboratorio Externo                               ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;       27,14;002001 Hemodialise                                       ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;      213,42;003001 Administracao                                     ;002 São José
00010 Internet                                          ;21581   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;06/03/2013;06/03/2013;      106,71;004001 Consultorio                                       ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;        1,29;000012 Dialise Peritonial - DPA                          ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;        4,90;001001 Laboratorio Hemo                                  ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;        0,21;001006 Laboratorio DPA                                   ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;        1,89;001007 Laboratorio Externo                               ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;       26,70;002001 Hemodialise                                       ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;      209,94;003001 Administracao                                     ;002 São José
00010 Internet                                          ;21676   ;001;000000000056         EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA;20/03/2013;20/03/2013;      104,97;004001 Consultorio                                       ;002 São José
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        0,13;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        0,32;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        0,34;000016 Farmacia - PRODUÇÃO                               ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        2,57;001001 Laboratorio Hemo                                  ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        0,14;001006 Laboratorio DPA                                   ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        0,68;001007 Laboratorio Externo                               ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        3,26;002001 Hemodialise                                       ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;       20,63;003001 Administracao                                     ;001 Taubaté
00010 Internet                                          ;21684   ;001;0110918400438        UOL INTERNET                                 ;25/03/2013;25/03/2013;        5,75;004001 Consultorio                                       ;001 Taubaté
00010 Internet                                          ;21706   ;001;02449992005638       VIVO S.A                                     ;28/03/2013;28/03/2013;      128,90;003001 Administracao                                     ;001 Taubaté
